"Tree"	"Family"	"Genus"	"Species"	"Htrunc"	"Htot"	"DBH"	"Db"	"Dm"	"Dh"	"Wleaves"	"Wbranches"	"Wtrunc"	"AGB"	"Site"	"Worker"
"C7"	"Sapindae"	"Denbollia"	"Denbollia sp."	9	19	30	31	22	18	250	60	409	719	"Fort-Dauphin-Moist"	"Sarobidy"
"C9"	"Sapindae"	"Denbollia"	"Denbollia sp."	9	23	28	29	28	26	495	46	511	1052	"Fort-Dauphin-Moist"	"Sarobidy"
"M1"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	1.65	3.9	3.43774677078494	4.74281730413848	3.78788764558711	3.66056369111359	"NA"	3.33	2.28	5.61	"Fort-Dauphin-Dry"	"Sarobidy"
"M2"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	1.7	3.95	3.3422538049298	4.36084544071793	3.02394391874601	2.70563403256222	"NA"	2.96	2.48	5.44	"Fort-Dauphin-Dry"	"Sarobidy"
"M3"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	2.5	4.7	3.5014087480217	4.32901445209955	3.56507072525846	3.3422538049298	"NA"	2.71	2.8	5.51	"Fort-Dauphin-Dry"	"Sarobidy"
"M4"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	1.9	5.25	4.64732433828334	5.41126806512444	5.22028213341417	4.80647928137524	"NA"	6.44	14.03	20.47	"Fort-Dauphin-Dry"	"Sarobidy"
"M5"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	2.8	5.3	4.45633840657307	5.60225399683472	4.45633840657307	3.81971863420549	"NA"	4.6	4.89	9.49	"Fort-Dauphin-Dry"	"Sarobidy"
"M6"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	1.96	4.35	4.39267642933631	6.30253574643906	6.46169068953095	4.16985950900766	"NA"	7.18	4.49	11.67	"Fort-Dauphin-Dry"	"Sarobidy"
"M7"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	1.4	4.8	5.18845114479579	7.63943726841098	5.57042300821634	5.18845114479579	"NA"	12.54	4.11	16.65	"Fort-Dauphin-Dry"	"Sarobidy"
"M8"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	2.3	3.5	5.72957795130823	7.0028174960434	5.82507091716337	5.72957795130823	"NA"	8.35	7.86	16.21	"Fort-Dauphin-Dry"	"Sarobidy"
"M9"	"Fabaceae"	"Dichrostrachys"	"Dichrostrachys dumetaria"	1.35	4.4	13.0507053335354	13.0507053335354	"NA"	11.1090150278143	"NA"	33	14.4	47.4	"Fort-Dauphin-Dry"	"Sarobidy"
"O1"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	1.56	3.2	3.66056369111359	4.93380323584876	4.13802852038928	3.72422566835035	"NA"	3.53	2.51	6.04	"Fort-Dauphin-Dry"	"Sarobidy"
"O2"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	1.8	3.48	3.02394391874601	4.29718346348117	3.18309886183791	2.80112699841736	"NA"	2.56	1.71	4.27	"Fort-Dauphin-Dry"	"Sarobidy"
"O3"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	1.55	3.9	2.70563403256222	4.01070456591576	4.20169049762604	2.70563403256222	"NA"	2.97	1.66	4.63	"Fort-Dauphin-Dry"	"Sarobidy"
"O4"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	1.96	4.5	5.88873289440013	7.63943726841098	6.8436625529515	5.66591597407147	"NA"	10.75	6.97	17.72	"Fort-Dauphin-Dry"	"Sarobidy"
"O5"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	3.3	4.4	3.91521160006063	5.09295817894065	3.81971863420549	3.56507072525846	"NA"	2.31	4.46	6.77	"Fort-Dauphin-Dry"	"Sarobidy"
"O6"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	2.45	4.2	3.56507072525846	4.20169049762604	3.66056369111359	3.75605665696873	"NA"	2.88	3.05	5.93	"Fort-Dauphin-Dry"	"Sarobidy"
"O7"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	1.28	3.7	6.93915551880664	8.24422605216018	6.49352167814933	7.09831046189853	"NA"	16.5	5.61	22.11	"Fort-Dauphin-Dry"	"Sarobidy"
"O8"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	4.13	5.6	7.48028232531908	4.77464829275686	6.6845076098596	8.65802890419911	"NA"	8.15	17.76	25.91	"Fort-Dauphin-Dry"	"Sarobidy"
"O9"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	2.1	4.15	7.16197243913529	6.93915551880664	7.48028232531908	4.23352148624442	"NA"	7.03	7.62	14.65	"Fort-Dauphin-Dry"	"Sarobidy"
"Grew4"	"Malvaceae"	"Dombeya"	"Dombeya sp1"	10.5	17.5	17	"NA"	"NA"	"NA"	31	20	150	201	"Ivohibe"	"Zafyson"
"Grew5"	"Malvaceae"	"Dombeya"	"Dombeya sp2"	6.5	14.5	17	"NA"	"NA"	"NA"	33	79	115	227	"Ivohibe"	"Zafyson"
"Grew6"	"Malvaceae"	"Dombeya"	"Dombeya sp2"	9.5	13	17.5	"NA"	"NA"	"NA"	20	46	135	201	"Ivohibe"	"Zafyson"
"Grew7"	"Malvaceae"	"Dombeya"	"Dombeya sp2"	7	10.5	30	"NA"	"NA"	"NA"	27.5	98	153	278.5	"Ivohibe"	"Zafyson"
"Grew8"	"Malvaceae"	"Dombeya"	"Dombeya sp1"	7	18	25	"NA"	"NA"	"NA"	57	144	167	368	"Ivohibe"	"Zafyson"
"Grew9"	"Malvaceae"	"Dombeya"	"Dombeya sp1"	7	15	30	"NA"	"NA"	"NA"	111	175	235	521	"Ivohibe"	"Zafyson"
"Eug9"	"Sapindaceae"	"Doratoxylon"	"Doratoxylon sp."	9.2	18.55	45.5	"NA"	39.7	37.5	229.75	1021.25	1195.25	2446.25	"Bealanana"	"Hasina"
"DRY1"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	4.5	7	9.55414012738853	"NA"	"NA"	"NA"	10.5	17.5	32	60	"Fandriana"	"Samuelson"
"DRY2"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	3.7	6	9.23566878980892	"NA"	"NA"	"NA"	8.5	12	27	47.5	"Fandriana"	"Samuelson"
"DRY3"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	2.8	6.6	7.96178343949045	"NA"	"NA"	"NA"	5	15	15	35	"Fandriana"	"Samuelson"
"DRY4"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	5.1	8.8	19.1082802547771	"NA"	"NA"	"NA"	21	52.5	74	147.5	"Fandriana"	"Samuelson"
"DRY5"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	5.8	10	17.1974522292994	"NA"	"NA"	"NA"	15	47	124	186	"Fandriana"	"Samuelson"
"DRY6"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	4.9	9.2	14.968152866242	"NA"	"NA"	"NA"	25	43	69	137	"Fandriana"	"Samuelson"
"H1"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	12	15	14	17	11	6	12	15	130	157	"Fort-Dauphin-Moist"	"Sarobidy"
"H2"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	5	11	13	16	11	6	23	20	64	107	"Fort-Dauphin-Moist"	"Sarobidy"
"H3"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	10	14	14	15	13	10	26	22	127	175	"Fort-Dauphin-Moist"	"Sarobidy"
"H4"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	12	19	21	22	18	15	53	20	310	383	"Fort-Dauphin-Moist"	"Sarobidy"
"H5"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	7	13	22	24	20	18	114	75	223	412	"Fort-Dauphin-Moist"	"Sarobidy"
"H6"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	7	11	24	27	21	17	127	49	299	475	"Fort-Dauphin-Moist"	"Sarobidy"
"H7"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	7	15	28	32	25	21	192	60	330	582	"Fort-Dauphin-Moist"	"Sarobidy"
"H8"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	5	16	26	27	26	25	325	83	262	670	"Fort-Dauphin-Moist"	"Sarobidy"
"H9"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	9	23	33	35	28	30	621	170	625	1416	"Fort-Dauphin-Moist"	"Sarobidy"
"Eug10"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	13.4	27.4	45.3	"NA"	37.5	35.2	155.5	1088.75	1569	2813.25	"Bealanana"	"Hasina"
