"Tree"	"Family"	"Genus"	"Species"	"Htrunc"	"Htot"	"DBH"	"Db"	"Dm"	"Dh"	"Wleaves"	"Wbranches"	"Wtrunc"	"AGB"	"Site"	"Worker"
"Hom5"	"Salicaceae"	"Homalium"	"Homalium sp2"	5.5	11.5	16.5	"NA"	"NA"	"NA"	27	61.5	85.5	174	"Ivohibe"	"Zafyson"
"Hom6"	"Salicaceae"	"Homalium"	"Homalium sp2"	2.5	10.5	17	"NA"	"NA"	"NA"	45	137.5	60.5	243	"Ivohibe"	"Zafyson"
"Hom7"	"Salicaceae"	"Homalium"	"Homalium sp2"	10.5	15.5	27	"NA"	"NA"	"NA"	31.5	124	408.5	564	"Ivohibe"	"Zafyson"
"Hom8"	"Salicaceae"	"Homalium"	"Homalium sp2"	8.5	14	30	"NA"	"NA"	"NA"	29	141	366	536	"Ivohibe"	"Zafyson"
"Hom9"	"Salicaceae"	"Homalium"	"Homalium sp2"	5.5	15	27.5	"NA"	"NA"	"NA"	71	159.5	221.5	452	"Ivohibe"	"Zafyson"
"D1"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	6	12	13	15	12	10	30.5	48.5	71	150	"Fort-Dauphin-Moist"	"Sarobidy"
"D2"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	8	12	10	11	9	8	11	22	75.5	108.5	"Fort-Dauphin-Moist"	"Sarobidy"
"D3"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	6	12	12	13	11	10	27	39	65	131	"Fort-Dauphin-Moist"	"Sarobidy"
"D4"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	12	17	17	19	13	12	29.5	22	218.5	270	"Fort-Dauphin-Moist"	"Sarobidy"
"D5"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	6	14	22	24	20	18	180	125	206	511	"Fort-Dauphin-Moist"	"Sarobidy"
"D6"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	8	13	19	22	17	12	33	127	196	356	"Fort-Dauphin-Moist"	"Sarobidy"
"D7"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	8	18	27	32	24	22	20.5	255	550	825.5	"Fort-Dauphin-Moist"	"Sarobidy"
"D8"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	8	15	29	33	26	23	85	72	456	613	"Fort-Dauphin-Moist"	"Sarobidy"
"D9"	"Rubiaceae"	"Hyperacanthus"	"Hyperacanthus sp."	9	15	26	28	22	16	65	135	335	535	"Fort-Dauphin-Moist"	"Sarobidy"
"Maca1"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	5.5	10	6	"NA"	"NA"	"NA"	3	2.5	9.5	15	"Ivohibe"	"Zafyson"
"Maca2"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	5.5	9	8	"NA"	"NA"	"NA"	5	4	17	26	"Ivohibe"	"Zafyson"
"Maca3"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	6.5	10.5	8	"NA"	"NA"	"NA"	2	4	21	27	"Ivohibe"	"Zafyson"
"Maca4"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	9.5	13.4	15	"NA"	"NA"	"NA"	7	11.5	69	87.5	"Ivohibe"	"Zafyson"
"Maca5"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	13.5	18	17.5	"NA"	"NA"	"NA"	16	119	175	310	"Ivohibe"	"Zafyson"
"Maca6"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	3.5	13	17	"NA"	"NA"	"NA"	43.5	107	61	211.5	"Ivohibe"	"Zafyson"
"Maca7"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	13.5	19	32	"NA"	"NA"	"NA"	15	60	320	395	"Ivohibe"	"Zafyson"
"Maca8"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	8	17	26	"NA"	"NA"	"NA"	30	112	285	427	"Ivohibe"	"Zafyson"
"Maca9"	"Euphorbiaceae"	"Macaranga"	"Macaranga macropoda"	12	18	27	"NA"	"NA"	"NA"	51	76	395	522	"Ivohibe"	"Zafyson"
"MAC1"	"Euphorbiaceae"	"Macaranga"	"Macaranga sp."	5.6	9.2	9.55414012738853	"NA"	"NA"	"NA"	8.5	10	28.5	47	"Fandriana"	"Samuelson"
"MAC2"	"Euphorbiaceae"	"Macaranga"	"Macaranga sp."	6	10	9.23566878980892	"NA"	"NA"	"NA"	10.5	11	29	50.5	"Fandriana"	"Samuelson"
"MAC3"	"Euphorbiaceae"	"Macaranga"	"Macaranga sp."	7	10	9.55414012738853	"NA"	"NA"	"NA"	5.5	5	25	35.5	"Fandriana"	"Samuelson"
"MAC4"	"Euphorbiaceae"	"Macaranga"	"Macaranga sp."	4.7	9.9	18.1528662420382	"NA"	"NA"	"NA"	6	55	89	150	"Fandriana"	"Samuelson"
"MAC5"	"Euphorbiaceae"	"Macaranga"	"Macaranga sp."	4	9	15.6050955414013	"NA"	"NA"	"NA"	22	35.5	40	97.5	"Fandriana"	"Samuelson"
"MAC6"	"Euphorbiaceae"	"Macaranga"	"Macaranga sp."	7	11	15.9235668789809	"NA"	"NA"	"NA"	19.5	20	78.5	118	"Fandriana"	"Samuelson"
"Mam1"	"Clusiaceae"	"Mammea"	"Mammea bongo"	7.8	18.56	34	"NA"	33.1	31	681.25	856.5	798	2335.75	"Bealanana"	"Hasina"
"Mam2"	"Clusiaceae"	"Mammea"	"Mammea bongo"	18.7	32.4	54	"NA"	44.3	42.4	656.25	1486.5	3794.5	5937.25	"Bealanana"	"Hasina"
"Mam3"	"Clusiaceae"	"Mammea"	"Mammea bongo"	18.4	30.2	44	"NA"	34.7	29.8	334.75	849.25	1967.25	3151.25	"Bealanana"	"Hasina"
"Mam4"	"Clusiaceae"	"Mammea"	"Mammea bongo"	14.88	31.7	45.6	"NA"	40.3	37.9	449.75	1429.25	1699	3578	"Bealanana"	"Hasina"
"Mam5"	"Clusiaceae"	"Mammea"	"Mammea bongo"	9.4	14.5	14.4	"NA"	11.9	10.7	46.25	20.25	128.25	194.75	"Bealanana"	"Hasina"
"Mam6"	"Clusiaceae"	"Mammea"	"Mammea bongo"	8.5	14.6	14.4	"NA"	14.8	9.4	62.25	38.25	120.5	221	"Bealanana"	"Hasina"
"Mam7"	"Clusiaceae"	"Mammea"	"Mammea bongo"	12.5	17.95	15.4	"NA"	15.5	8.6	45.5	23.5	202	271	"Bealanana"	"Hasina"
"Mam8"	"Clusiaceae"	"Mammea"	"Mammea bongo"	7.7	20.76	35.4	"NA"	26.9	31	256.75	602.25	509.75	1368.75	"Bealanana"	"Hasina"
"Mam9"	"Clusiaceae"	"Mammea"	"Mammea bongo"	7.4	26.7	34	"NA"	29.4	34.6	245.5	1122.25	569	1936.75	"Bealanana"	"Hasina"
"Sym4"	"Clusiaceae"	"Mammea"	"Mammea sp"	6	11	15	"NA"	"NA"	"NA"	27	17	60	104	"Ivohibe"	"Zafyson"
"Sym5"	"Clusiaceae"	"Mammea"	"Mammea sp"	7	11	16	"NA"	"NA"	"NA"	33	16	72	121	"Ivohibe"	"Zafyson"
"Sym6"	"Clusiaceae"	"Mammea"	"Mammea sp"	8	13	17	"NA"	"NA"	"NA"	30	18	79	127	"Ivohibe"	"Zafyson"
"Sym7"	"Clusiaceae"	"Mammea"	"Mammea sp"	13	18	26	"NA"	"NA"	"NA"	72	119	427	618	"Ivohibe"	"Zafyson"
"Sym9"	"Clusiaceae"	"Mammea"	"Mammea sp"	13	17	30	"NA"	"NA"	"NA"	78	105	455	638	"Ivohibe"	"Zafyson"
"J1"	"Clusiaceae"	"Mammea"	"Mammea sp."	9	14	14	16	10	7	15	29	81	125	"Fort-Dauphin-Moist"	"Sarobidy"
"J2"	"Clusiaceae"	"Mammea"	"Mammea sp."	8	18	16	19	13	14	71	50	151	272	"Fort-Dauphin-Moist"	"Sarobidy"
"J3"	"Clusiaceae"	"Mammea"	"Mammea sp."	6	11	10	12	9	7	12	20	44	76	"Fort-Dauphin-Moist"	"Sarobidy"
"J4"	"Clusiaceae"	"Mammea"	"Mammea sp."	13	20	22	27	19	15	78	31	454	563	"Fort-Dauphin-Moist"	"Sarobidy"
"J5"	"Clusiaceae"	"Mammea"	"Mammea sp."	11	15	19	21	17	13	27	36	287	350	"Fort-Dauphin-Moist"	"Sarobidy"
"J6"	"Clusiaceae"	"Mammea"	"Mammea sp."	12	19	20	21	19	12	42	62	350	454	"Fort-Dauphin-Moist"	"Sarobidy"
"J7"	"Clusiaceae"	"Mammea"	"Mammea sp."	15	21	27	30	18	13	95	82	536	713	"Fort-Dauphin-Moist"	"Sarobidy"
"J8"	"Clusiaceae"	"Mammea"	"Mammea sp."	14	25	33	38	28	22	301	209	1034	1544	"Fort-Dauphin-Moist"	"Sarobidy"
"J9"	"Clusiaceae"	"Mammea"	"Mammea sp."	19	25	29	32	24	17	126	102	1017	1245	"Fort-Dauphin-Moist"	"Sarobidy"
"Sym1"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	3	9	7.5	"NA"	"NA"	"NA"	3	20	14.5	37.5	"Ivohibe"	"Zafyson"
"Sym2"	"Apocynaceae"	"Mascarenhasia"	"Mascarenhasia arborescens"	3	6.5	8	"NA"	"NA"	"NA"	5	13.5	21	39.5	"Ivohibe"	"Zafyson"
"Nor1"	"Oleaceae"	"Noronhia"	"Noronhia linocerioides"	14.9	25.6	27.5	"NA"	20.4	18.6	34	165.5	550.5	750	"Bealanana"	"Hasina"
"Nor2"	"Oleaceae"	"Noronhia"	"Noronhia linocerioides"	11	16.9	14.5	"NA"	11.9	10.2	41.75	29.75	129.5	201	"Bealanana"	"Hasina"
"Nor3"	"Oleaceae"	"Noronhia"	"Noronhia linocerioides"	4.92	9.6	10.2	"NA"	9.1	7.5	12	13.75	38	63.75	"Bealanana"	"Hasina"
"Nor4"	"Oleaceae"	"Noronhia"	"Noronhia linocerioides"	9	14	10.9	"NA"	9.4	7.2	8.75	8.25	67.25	84.25	"Bealanana"	"Hasina"
"Nor5"	"Oleaceae"	"Noronhia"	"Noronhia linocerioides"	13.94	20.9	32.1	"NA"	25.6	23	54.75	215.5	769	1039.25	"Bealanana"	"Hasina"
"Ocot1"	"Lauraceae"	"Ocotea"	"Ocotea racemosa"	5	9.5	7	"NA"	"NA"	"NA"	2.5	6	15	23.5	"Ivohibe"	"Zafyson"
"Ocot2"	"Lauraceae"	"Ocotea"	"Ocotea racemosa"	8.5	11.5	7	"NA"	"NA"	"NA"	8	5	27	40	"Ivohibe"	"Zafyson"
"Ocot3"	"Lauraceae"	"Ocotea"	"Ocotea racemosa"	6.7	11.3	6	"NA"	"NA"	"NA"	3	4	15	22	"Ivohibe"	"Zafyson"
"Ocot4"	"Lauraceae"	"Ocotea"	"Ocotea cymosa"	9.5	13.5	17.5	"NA"	"NA"	"NA"	40	59	162	261	"Ivohibe"	"Zafyson"
"Ocot5"	"Lauraceae"	"Ocotea"	"Ocotea racemosa"	9	15	17.5	"NA"	"NA"	"NA"	32	49.5	139	220.5	"Ivohibe"	"Zafyson"
"Ocot6"	"Lauraceae"	"Ocotea"	"Ocotea racemosa"	12.5	16	16	"NA"	"NA"	"NA"	31	62	211	304	"Ivohibe"	"Zafyson"
"Ocot7"	"Lauraceae"	"Ocotea"	"Ocotea cymosa"	9.5	14	25	"NA"	"NA"	"NA"	61	64	216	341	"Ivohibe"	"Zafyson"
"Ocot8"	"Lauraceae"	"Ocotea"	"Ocotea cymosa"	10.5	17	28	"NA"	"NA"	"NA"	104	151	335.5	590.5	"Ivohibe"	"Zafyson"
"Ocot9"	"Lauraceae"	"Ocotea"	"Ocotea cymosa"	12	23	36	"NA"	"NA"	"NA"	129	439	805	1373	"Ivohibe"	"Zafyson"
"OCO1"	"Lauraceae"	"Ocotea"	"Ocotea sp."	9.8	11.2	8.59872611464968	"NA"	"NA"	"NA"	6	4	45.5	55.5	"Fandriana"	"Samuelson"
"OCO2"	"Lauraceae"	"Ocotea"	"Ocotea sp."	6	8.5	8.28025477707006	"NA"	"NA"	"NA"	5	7	17.5	29.5	"Fandriana"	"Samuelson"
"OCO3"	"Lauraceae"	"Ocotea"	"Ocotea sp."	5	9	8.59872611464968	"NA"	"NA"	"NA"	6.5	9.5	18	34	"Fandriana"	"Samuelson"
"OCO4"	"Lauraceae"	"Ocotea"	"Ocotea sp."	8.5	10.8	19.1082802547771	"NA"	"NA"	"NA"	7	17.5	113	137.5	"Fandriana"	"Samuelson"
"OCO5"	"Lauraceae"	"Ocotea"	"Ocotea sp."	5.89	11	15.9235668789809	"NA"	"NA"	"NA"	22.5	84.5	173	280	"Fandriana"	"Samuelson"
"OCO6"	"Lauraceae"	"Ocotea"	"Ocotea sp."	7.8	10.5	16.8789808917197	"NA"	"NA"	"NA"	44	63	172.5	279.5	"Fandriana"	"Samuelson"
"OCO7"	"Lauraceae"	"Ocotea"	"Ocotea sp."	10	14	28.343949044586	"NA"	"NA"	"NA"	25	32	350.5	407.5	"Fandriana"	"Samuelson"
"OCO8"	"Lauraceae"	"Ocotea"	"Ocotea sp."	8	12	29.6178343949045	"NA"	"NA"	"NA"	52.5	271.5	448	772	"Fandriana"	"Samuelson"
"OCO9"	"Lauraceae"	"Ocotea"	"Ocotea sp."	12	18	30.8917197452229	"NA"	"NA"	"NA"	90	74	524.5	688.5	"Fandriana"	"Samuelson"
"Rap1"	"Myrsinaceae"	"Oncostemum"	"Oncostemum sp."	4.1	12.57	19.7	"NA"	19.1	16.5	37.75	126.25	117.5	281.5	"Bealanana"	"Hasina"
"Rap2"	"Myrsinaceae"	"Oncostemum"	"Oncostemum sp."	9.77	14.1	16.6	"NA"	11	9.2	3.75	12.25	126.75	142.75	"Bealanana"	"Hasina"
"Rap3"	"Myrsinaceae"	"Oncostemum"	"Oncostemum sp."	6.8	11.18	12.4	"NA"	11	7.6	7	7	76.25	90.25	"Bealanana"	"Hasina"
"Rap4"	"Myrsinaceae"	"Oncostemum"	"Oncostemum sp."	1.16	10.5	23.2	"NA"	19.8	22.1	14.75	177.75	45	237.5	"Bealanana"	"Hasina"
"I1"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	2.11	3.21	10.663381187157	14.3876068555073	11.1408460164327	6.81183156433312	"NA"	2.65	20	22.65	"Fort-Dauphin-Dry"	"Sarobidy"
"I2"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	1.7	3.77	7.0028174960434	9.32647966518507	8.3715500066337	6.78000057571474	"NA"	1.92	8.98	10.9	"Fort-Dauphin-Dry"	"Sarobidy"
"I3"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	3.64	5.16	10.1859163578813	13.3053532424825	9.42197263104021	4.93380323584876	"NA"	1.73	24	25.73	"Fort-Dauphin-Dry"	"Sarobidy"
"I4"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	5.2	6.25	16.1701422181366	16.2974661726101	12.76422643597	6.62084563262285	"NA"	4.75	68.25	73	"Fort-Dauphin-Dry"	"Sarobidy"
"I5"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	3.83	5.27	14.0374659807052	16.711269024649	12.095775674984	6.27070475782068	"NA"	4	44	48	"Fort-Dauphin-Dry"	"Sarobidy"
"I6"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	3.72	5.43	19.0985931710274	21.8678891808264	15.5971844230057	9.54929658551372	"NA"	8.75	81.5	90.25	"Fort-Dauphin-Dry"	"Sarobidy"
"I7"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	5.4	7.26	26.4197205532546	26.7380304394384	23.7140865206924	14.0056349920868	"NA"	24.5	194.5	219	"Fort-Dauphin-Dry"	"Sarobidy"
"I8"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	3.51	4.43	24.7963401337173	22.2816920328653	22.249861044247	8.27605704077856	"NA"	10	115	125	"Fort-Dauphin-Dry"	"Sarobidy"
"I9"	"Rubiaceae"	"Opercularia"	"Opercularia decaryii"	4.7	6.1	27.4064812004244	27.6929600979898	23.2366216914167	8.91267681314614	"NA"	12	166.5	178.5	"Fort-Dauphin-Dry"	"Sarobidy"
"K1"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	2.7	3.7	10.9816910733408	9.23098669932993	10.8225361302489	4.93380323584876	"NA"	1.19	10.5	11.69	"Fort-Dauphin-Dry"	"Sarobidy"
"K2"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	3.25	4	10.9816910733408	10.8225361302489	12.4140855611678	5.25211312203255	"NA"	1.5	16.45	17.95	"Fort-Dauphin-Dry"	"Sarobidy"
"K3"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"NA"	3.1	7.79859221150287	7.48028232531908	6.8436625529515	"NA"	"NA"	"NA"	"NA"	"NA"	"Fort-Dauphin-Dry"	"Sarobidy"
"K4"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"NA"	2.9	8.43521198387045	9.32647966518507	8.11690209768666	"NA"	"NA"	"NA"	"NA"	"NA"	"Fort-Dauphin-Dry"	"Sarobidy"
"K5"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"NA"	2.6	7.32112738222719	8.33971901801532	7.32112738222719	"NA"	"NA"	"NA"	"NA"	"NA"	"Fort-Dauphin-Dry"	"Sarobidy"
"K6"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	3.05	3.4	9.07183175623804	9.54929658551372	8.75352187005424	4.07436654315252	"NA"	0.48	9.82	10.3	"Fort-Dauphin-Dry"	"Sarobidy"
"K7"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	"NA"	5.15	17.5070437401085	13.3690152197192	12.5732405042597	"NA"	"NA"	1.79	31	32.79	"Fort-Dauphin-Dry"	"Sarobidy"
"K8"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	3.7	5	12.5732405042597	14.6422547644544	22.6000019190491	7.48028232531908	"NA"	7.75	61.75	69.5	"Fort-Dauphin-Dry"	"Sarobidy"
"K9"	"Apocynaceae"	"Pachypodium"	"Pachypodium lameri"	3.35	4.9	31.8309886183791	21.0084524881302	34.0591578216656	11.7774657888003	"NA"	18.5	133.75	152.25	"Fort-Dauphin-Dry"	"Sarobidy"
"Fic3"	"Clusiaceae"	"Psorospermum"	"Psorospermum androsaemifolium"	4.5	9	8.5	"NA"	"NA"	"NA"	8.5	16	24	48.5	"Ivohibe"	"Zafyson"
"Eug1"	"Anacardiaceae"	"Rhus"	"Rhus tarantana"	11.38	20.03	30.1	"NA"	20	16.1	129	117.5	430.5	677	"Bealanana"	"Hasina"
"SCH1"	"Araliaceae"	"Schefflera"	"Schefflera sp."	10.75	11.4	6.36942675159236	"NA"	"NA"	"NA"	0.4	0	17	17.4	"Fandriana"	"Samuelson"
"SCH2"	"Araliaceae"	"Schefflera"	"Schefflera sp."	5.8	11	9.55414012738853	"NA"	"NA"	"NA"	1	11.5	21	33.5	"Fandriana"	"Samuelson"
"SCH3"	"Araliaceae"	"Schefflera"	"Schefflera sp."	5	10	9.55414012738853	"NA"	"NA"	"NA"	2.25	12.5	26	40.75	"Fandriana"	"Samuelson"
"SCH4"	"Araliaceae"	"Schefflera"	"Schefflera sp."	9.1	14	18.4713375796178	"NA"	"NA"	"NA"	14.5	49	168.5	232	"Fandriana"	"Samuelson"
"SCH5"	"Araliaceae"	"Schefflera"	"Schefflera sp."	4.4	9	18.4713375796178	"NA"	"NA"	"NA"	19	86	95	200	"Fandriana"	"Samuelson"
"SCH6"	"Araliaceae"	"Schefflera"	"Schefflera sp."	4	8.5	18.4713375796178	"NA"	"NA"	"NA"	21.5	104	113	238.5	"Fandriana"	"Samuelson"
"SCH7"	"Araliaceae"	"Schefflera"	"Schefflera sp."	6.5	11	31.8471337579618	"NA"	"NA"	"NA"	25	170	456	651	"Fandriana"	"Samuelson"
"SCH8"	"Araliaceae"	"Schefflera"	"Schefflera sp."	5	11	28.6624203821656	"NA"	"NA"	"NA"	50	166.5	234	450.5	"Fandriana"	"Samuelson"
"SCH9"	"Araliaceae"	"Schefflera"	"Schefflera sp."	5	12	31.8471337579618	"NA"	"NA"	"NA"	45	285.5	294.5	625	"Fandriana"	"Samuelson"
"H1"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	1.58	3.8	3.91521160006063	5.09295817894065	4.07436654315252	4.1061975317709	"NA"	2.74	2.27	5.01	"Fort-Dauphin-Dry"	"Sarobidy"
"H2"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	1.63	3.36	3.18309886183791	4.29718346348117	3.88338061144225	3.3422538049298	"NA"	2.61	2.16	4.77	"Fort-Dauphin-Dry"	"Sarobidy"
"H3"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	3.05	4.4	3.18309886183791	4.2653524748628	3.72422566835035	2.41915513499681	"NA"	0.87	2.97	3.84	"Fort-Dauphin-Dry"	"Sarobidy"
"H4"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	2.6	4.37	4.13802852038928	4.99746521308551	4.13802852038928	3.37408479354818	"NA"	4.08	3.96	8.04	"Fort-Dauphin-Dry"	"Sarobidy"
"H5"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	2.64	4.9	6.11154981472878	7.0028174960434	6.20704278058392	4.77464829275686	"NA"	8.85	8.19	17.04	"Fort-Dauphin-Dry"	"Sarobidy"
"H6"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	0.86	4.37	5.41126806512444	7.63943726841098	6.8436625529515	6.6845076098596	"NA"	8.93	6.09	15.02	"Fort-Dauphin-Dry"	"Sarobidy"
"H7"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	3.35	6.65	8.43521198387045	9.86760647169751	8.3715500066337	7.89408517735801	"NA"	25	22.56	47.56	"Fort-Dauphin-Dry"	"Sarobidy"
"H8"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	2.4	6.05	10.1222543806445	11.6183108457084	9.70845152860562	7.32112738222719	"NA"	33.5	23.79	57.29	"Fort-Dauphin-Dry"	"Sarobidy"
"H9"	"Euphorbiaceae"	"Securinega"	"Securinega capironii"	1.35	5.04	7.63943726841098	8.91267681314614	8.27605704077856	7.95774715459477	"NA"	18	7.55	25.55	"Fort-Dauphin-Dry"	"Sarobidy"
"I1"	"Moraceae"	"Streblus"	"Streblus dimepata"	6	12	11	13	10	9	31	10	65	106	"Fort-Dauphin-Moist"	"Sarobidy"
"I2"	"Moraceae"	"Streblus"	"Streblus dimepata"	6	11	9	10	7	6	12	7	49	68	"Fort-Dauphin-Moist"	"Sarobidy"
"I3"	"Moraceae"	"Streblus"	"Streblus dimepata"	9	11	10	10	10	9	18	13	49	80	"Fort-Dauphin-Moist"	"Sarobidy"
"I4"	"Moraceae"	"Streblus"	"Streblus dimepata"	9	17	17	20	13	10	48	11	158.5	217.5	"Fort-Dauphin-Moist"	"Sarobidy"
"I5"	"Moraceae"	"Streblus"	"Streblus dimepata"	13	19	17	20	15	10	38	24	214	276	"Fort-Dauphin-Moist"	"Sarobidy"
"I6"	"Moraceae"	"Streblus"	"Streblus dimepata"	4	12	18	21	14	16	117	11	115	243	"Fort-Dauphin-Moist"	"Sarobidy"
"I7"	"Moraceae"	"Streblus"	"Streblus dimepata"	9	18	27	29	23	21	232	69	421	722	"Fort-Dauphin-Moist"	"Sarobidy"
"I8"	"Moraceae"	"Streblus"	"Streblus dimepata"	10	17	27	28	20	15	120	55	400	575	"Fort-Dauphin-Moist"	"Sarobidy"
"I9"	"Moraceae"	"Streblus"	"Streblus dimepata"	13	17	27	29	20	11	45	25	395	465	"Fort-Dauphin-Moist"	"Sarobidy"
"L1"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	2.2	3.9	3.3422538049298	4.36084544071793	3.46957775940332	2.32366216914167	"NA"	0.97	2.18	3.15	"Fort-Dauphin-Dry"	"Sarobidy"
"L2"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	1.85	5.7	3.81971863420549	4.61549334966497	3.81971863420549	3.5014087480217	"NA"	3.36	2.9	6.26	"Fort-Dauphin-Dry"	"Sarobidy"
"L3"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	2.25	5.25	4.45633840657307	5.41126806512444	4.52000038380983	4.13802852038928	"NA"	3.89	4.07	7.96	"Fort-Dauphin-Dry"	"Sarobidy"
"L4"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	2.67	4.95	4.58366236104659	6.16884559424186	4.67915532690172	4.55183137242821	"NA"	4.25	6.09	10.34	"Fort-Dauphin-Dry"	"Sarobidy"
"L5"	"Loganiaceae"	"Strychnos"	"Strychnos decussata"	2.08	3.75	4.16985950900766	6.46169068953095	4.90197224723038	4.13802852038928	"NA"	5.83	4.52	10.35	"Fort-Dauphin-Dry"	"Sarobidy"
"L6"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	2.15	4.9	3.81971863420549	6.04788783749202	4.45633840657307	3.3422538049298	"NA"	3.06	3.68	6.74	"Fort-Dauphin-Dry"	"Sarobidy"
"L7"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	2.65	4.7	5.57042300821634	8.75352187005424	5.57042300821634	4.45633840657307	"NA"	4	7.38	11.38	"Fort-Dauphin-Dry"	"Sarobidy"
"L8"	"Loganiaceae"	"Strychnos"	"Strychnos decussata"	1.76	4.7	6.55718365538609	9.80394449446075	6.8436625529515	6.04788783749202	"NA"	9.86	8.5	18.36	"Fort-Dauphin-Dry"	"Sarobidy"
"L9"	"Loganiaceae"	"Strychnos"	"Strychnos madagascariensis"	2.9	6.1	9.39014164242183	11.3000009595246	9.07183175623804	8.11690209768666	"NA"	30.99	22.33	53.32	"Fort-Dauphin-Dry"	"Sarobidy"
"SYM1"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	6.4	9	9.55414012738853	"NA"	"NA"	"NA"	10	9.5	36	55.5	"Fandriana"	"Samuelson"
"SYM2"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	8	6.4	7.00636942675159	"NA"	"NA"	"NA"	2.5	2.5	21	26	"Fandriana"	"Samuelson"
"SYM3"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	6.2	8.54	9.55414012738853	"NA"	"NA"	"NA"	6.5	4.5	33.5	44.5	"Fandriana"	"Samuelson"
"SYM4"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	5.53	8.36	16.5605095541401	"NA"	"NA"	"NA"	37.5	27.5	118.5	183.5	"Fandriana"	"Samuelson"
"SYM5"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	7.3	10.5	15.9235668789809	"NA"	"NA"	"NA"	5.75	20.5	103	129.25	"Fandriana"	"Samuelson"
"SYM6"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	13.5	16	19.1082802547771	"NA"	"NA"	"NA"	61.5	165.5	295.5	522.5	"Fandriana"	"Samuelson"
"SYM7"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	9	15.5	28.6624203821656	"NA"	"NA"	"NA"	82.5	216	496	794.5	"Fandriana"	"Samuelson"
"SYM8"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	15.2	19	28.9808917197452	"NA"	"NA"	"NA"	49.5	85.75	697.5	832.75	"Fandriana"	"Samuelson"
"SYM9"	"Clusiaceae"	"Symphonia"	"Symphonia sp."	11	18	29.6178343949045	"NA"	"NA"	"NA"	102	156.5	609.5	868	"Fandriana"	"Samuelson"
"Syz1"	"Myrtaceae"	"Syzygium"	"Syzygium emirnensis"	4.5	8.5	7	"NA"	"NA"	"NA"	4	5	14	23	"Ivohibe"	"Zafyson"
