"Tree"	"Family"	"Genus"	"Species"	"TreePart"	"MoistWeight"	"MoistVol1"	"DryWeight"	"MoistVol2"	"Site"	"Worker"
"C6"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"m"	19.602	14.4	4.512	14.4	"Fort-Dauphin-Dry"	"Sarobidy"
"C6"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"h"	12.779	12.6	3.224	12.6	"Fort-Dauphin-Dry"	"Sarobidy"
"C7"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"b"	17.908	21	6.074	21	"Fort-Dauphin-Dry"	"Sarobidy"
"C7"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"m"	19.057	20.3	5.445	20.3	"Fort-Dauphin-Dry"	"Sarobidy"
"C7"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"h"	7.448	7.9	1.884	7.9	"Fort-Dauphin-Dry"	"Sarobidy"
"C8"	"Didiereaceae"	"Alluaudia"	"Alluaudia dumosa"	"b"	15.193	14.6	6.686	14.6	"Fort-Dauphin-Dry"	"Sarobidy"
"C8"	"Didiereaceae"	"Alluaudia"	"Alluaudia dumosa"	"m"	17.004	16.6	7.962	16.6	"Fort-Dauphin-Dry"	"Sarobidy"
"C8"	"Didiereaceae"	"Alluaudia"	"Alluaudia dumosa"	"h"	11.837	11.2	3.96	11.2	"Fort-Dauphin-Dry"	"Sarobidy"
"C9"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"b"	11.46	12	3.62	12	"Fort-Dauphin-Dry"	"Sarobidy"
"C9"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"m"	13.35	17	5.463	17	"Fort-Dauphin-Dry"	"Sarobidy"
"C9"	"Didiereaceae"	"Alluaudia"	"Alluaudia procera"	"h"	14.064	14.7	3.044	14.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O1"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"br"	14.46	12.4	9.466	12.4	"Fort-Dauphin-Dry"	"Sarobidy"
"O1"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"b"	33.433	28.3	23.095	28.3	"Fort-Dauphin-Dry"	"Sarobidy"
"O1"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"m"	24.463	21.6	16.608	21.6	"Fort-Dauphin-Dry"	"Sarobidy"
"O1"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"h"	21.74	19.1	14.22	19.1	"Fort-Dauphin-Dry"	"Sarobidy"
"O2"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"br"	13.988	12.4	8.574	12.4	"Fort-Dauphin-Dry"	"Sarobidy"
"O2"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"b"	25.841	22	16.523	22	"Fort-Dauphin-Dry"	"Sarobidy"
"O2"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"m"	12.445	11.2	7.879	11.2	"Fort-Dauphin-Dry"	"Sarobidy"
"O2"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"h"	8.742	7.9	5.574	7.9	"Fort-Dauphin-Dry"	"Sarobidy"
"O3"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"br"	10.847	10.1	7.4	10.1	"Fort-Dauphin-Dry"	"Sarobidy"
"O3"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"b"	26.777	23.8	19.075	23.8	"Fort-Dauphin-Dry"	"Sarobidy"
"O3"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"m"	24.869	24.6	17.564	24.6	"Fort-Dauphin-Dry"	"Sarobidy"
"O3"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"h"	15.46	14.3	10.783	14.3	"Fort-Dauphin-Dry"	"Sarobidy"
"O4"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"br"	14.507	12	9.476	12	"Fort-Dauphin-Dry"	"Sarobidy"
"O4"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"b"	9.473	8.1	6.481	8.1	"Fort-Dauphin-Dry"	"Sarobidy"
"O4"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"m"	13.347	11.6	9.035	11.6	"Fort-Dauphin-Dry"	"Sarobidy"
"O4"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"h"	16.437	9.2	11.407	9.2	"Fort-Dauphin-Dry"	"Sarobidy"
"O5"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"br"	10.369	33	6.613	33	"Fort-Dauphin-Dry"	"Sarobidy"
"O5"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"b"	38.351	18.7	24.735	18.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O5"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"m"	16.918	16.2	13.38	16.2	"Fort-Dauphin-Dry"	"Sarobidy"
"O5"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"h"	18.56	19.6	11.43	19.6	"Fort-Dauphin-Dry"	"Sarobidy"
"O6"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"br"	21.318	25.2	14.485	25.2	"Fort-Dauphin-Dry"	"Sarobidy"
"O6"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"b"	28.588	21.7	20.512	21.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O6"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"m"	23.192	16.1	16.373	16.1	"Fort-Dauphin-Dry"	"Sarobidy"
"O6"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"h"	17.147	13.7	11.976	13.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O7"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"br"	13.876	11.7	9.35	11.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O7"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"b"	16.048	13.5	11.415	13.5	"Fort-Dauphin-Dry"	"Sarobidy"
"O7"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"m"	10.442	9.3	7.386	9.3	"Fort-Dauphin-Dry"	"Sarobidy"
"O7"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"h"	9.622	8.4	6.621	8.4	"Fort-Dauphin-Dry"	"Sarobidy"
"O8"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"br"	10.545	8.9	6.084	8.9	"Fort-Dauphin-Dry"	"Sarobidy"
"O8"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"b"	18.106	15	11.537	15	"Fort-Dauphin-Dry"	"Sarobidy"
"O8"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"m"	14.355	12.7	8.952	12.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O8"	"Ebenaceae"	"Diospyros"	"Diospyros humbertiana"	"h"	10.882	9.9	7.001	9.9	"Fort-Dauphin-Dry"	"Sarobidy"
"O9"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"br"	10.573	9.8	7.511	9.8	"Fort-Dauphin-Dry"	"Sarobidy"
"O9"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"b"	17.262	15.2	12.595	15.2	"Fort-Dauphin-Dry"	"Sarobidy"
"O9"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"m"	17.255	15.7	12.524	15.7	"Fort-Dauphin-Dry"	"Sarobidy"
"O9"	"Ebenaceae"	"Diospyros"	"Diospyros manapetsae"	"h"	17.569	16.1	12.38	16.1	"Fort-Dauphin-Dry"	"Sarobidy"
"H1"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	6.416	6.2	4.446	6.2	"Fort-Dauphin-Moist"	"Sarobidy"
"H1"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	14.708	14.6	10.27	14.6	"Fort-Dauphin-Moist"	"Sarobidy"
"H1"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	11.625	12	8.172	12	"Fort-Dauphin-Moist"	"Sarobidy"
"H1"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	11.996	11.2	7.831	11.2	"Fort-Dauphin-Moist"	"Sarobidy"
"H2"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	10.047	9.1	6.608	9.1	"Fort-Dauphin-Moist"	"Sarobidy"
"H2"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	18.557	16.1	12.893	16.1	"Fort-Dauphin-Moist"	"Sarobidy"
"H2"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	15.368	13.9	10.892	13.9	"Fort-Dauphin-Moist"	"Sarobidy"
"H2"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	7.133	6.8	4.9003	6.8	"Fort-Dauphin-Moist"	"Sarobidy"
"H3"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	9.605	9.2	6.546	9.2	"Fort-Dauphin-Moist"	"Sarobidy"
"H3"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	20.687	19.4	14.118	19.4	"Fort-Dauphin-Moist"	"Sarobidy"
"H3"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	16.579	15.6	10.98	15.6	"Fort-Dauphin-Moist"	"Sarobidy"
"H3"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	14.138	13.8	11.047	13.8	"Fort-Dauphin-Moist"	"Sarobidy"
"H4"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	8.543	8	5.858	8	"Fort-Dauphin-Moist"	"Sarobidy"
"H4"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	18.963	19	13.392	19	"Fort-Dauphin-Moist"	"Sarobidy"
"H4"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	18.901	19	13.193	19	"Fort-Dauphin-Moist"	"Sarobidy"
"H4"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	17.848	17.5	12.39	17.5	"Fort-Dauphin-Moist"	"Sarobidy"
"H5"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	18.255	17.5	11.92	17.5	"Fort-Dauphin-Moist"	"Sarobidy"
"H5"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	20.148	20.2	12.179	20.2	"Fort-Dauphin-Moist"	"Sarobidy"
"H5"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	20.431	20.1	12.337	20.1	"Fort-Dauphin-Moist"	"Sarobidy"
"H5"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	22.324	21	13.071	21	"Fort-Dauphin-Moist"	"Sarobidy"
"H6"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	11.263	10	6.543	10	"Fort-Dauphin-Moist"	"Sarobidy"
"H6"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	21.378	19.8	13.511	19.8	"Fort-Dauphin-Moist"	"Sarobidy"
"H6"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	20.792	19.2	12.712	19.2	"Fort-Dauphin-Moist"	"Sarobidy"
"H6"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	22.101	19.8	13.537	19.8	"Fort-Dauphin-Moist"	"Sarobidy"
"H7"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	11.845	12	7.817	12	"Fort-Dauphin-Moist"	"Sarobidy"
"H7"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	24.958	24.4	16.925	24.4	"Fort-Dauphin-Moist"	"Sarobidy"
"H7"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	21.481	22.4	12.646	22.4	"Fort-Dauphin-Moist"	"Sarobidy"
"H7"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	21.867	22.3	14.041	22.3	"Fort-Dauphin-Moist"	"Sarobidy"
"H8"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	18.314	17	16.063	17	"Fort-Dauphin-Moist"	"Sarobidy"
"H8"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	24.512	22.8	14.667	22.8	"Fort-Dauphin-Moist"	"Sarobidy"
"H8"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	24.198	22.1	13.853	22.1	"Fort-Dauphin-Moist"	"Sarobidy"
"H8"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	29.705	28.7	18.964	28.7	"Fort-Dauphin-Moist"	"Sarobidy"
"H9"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"br"	15.374	16.9	9.54	16.9	"Fort-Dauphin-Moist"	"Sarobidy"
"H9"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.b"	21.069	19.6	15.089	19.6	"Fort-Dauphin-Moist"	"Sarobidy"
"H9"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.m"	24.426	22.3	15.064	22.3	"Fort-Dauphin-Moist"	"Sarobidy"
"H9"	"Erythroxylaceae"	"Erythroxyllum"	"Erythroxyllum sphaeranthum"	"tr.h"	20.411	19.5	12.584	19.5	"Fort-Dauphin-Moist"	"Sarobidy"
"Cro2"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"br"	190	184.7	6.77	10.7	"Bealanana"	"Hasina"
"Cro2"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.b"	190	189.5	7.21	11.3	"Bealanana"	"Hasina"
"Cro2"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.h"	582	546.6	11.21	15.6	"Bealanana"	"Hasina"
"Cro2"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.m"	529	478.6	22.26	33.1	"Bealanana"	"Hasina"
"Cro3"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"br"	292	260.9	15.05	21	"Bealanana"	"Hasina"
"Cro3"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.b"	622	602.3	14.04	19.2	"Bealanana"	"Hasina"
"Cro3"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.h"	356	337	15.93	21.8	"Bealanana"	"Hasina"
"Cro3"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.m"	510	485.4	12.65	17.6	"Bealanana"	"Hasina"
"Cro5"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"br"	163	162.7	9.37	16.6	"Bealanana"	"Hasina"
"Cro5"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.b"	415	402.7	14.81	20.1	"Bealanana"	"Hasina"
"Cro5"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.h"	359	343.9	16.15	23.8	"Bealanana"	"Hasina"
"Cro5"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.m"	436	414.2	15.93	22	"Bealanana"	"Hasina"
"Cro6"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"br"	204	189.8	8.04	12.3	"Bealanana"	"Hasina"
"Cro6"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.b"	534	537.5	16.39	23.3	"Bealanana"	"Hasina"
"Cro6"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.h"	499	468.4	17.71	38.4	"Bealanana"	"Hasina"
"Cro6"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.m"	486	417.4	18.74	25.7	"Bealanana"	"Hasina"
"Cro8"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"br"	382	374.4	9.61	16	"Bealanana"	"Hasina"
"Cro8"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.b"	224	222.55	15.19	25	"Bealanana"	"Hasina"
"Cro8"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.h"	366	353.2	12.06	19.4	"Bealanana"	"Hasina"
"Cro8"	"Euphorbiaceae"	"Croton"	"Croton argyrodaphne"	"tr.m"	314	306.4	10.81	16.8	"Bealanana"	"Hasina"
"Cro4"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"br"	183	222.7	4.98	12.8	"Bealanana"	"Hasina"
"Cro4"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.b"	303	394.4	6.8	20.1	"Bealanana"	"Hasina"
"Cro4"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.h"	381	484.5	9.29	25.4	"Bealanana"	"Hasina"
"Cro4"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.m"	303	431.1	9	26.9	"Bealanana"	"Hasina"
"Cro7"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"br"	244	302.45	4.47	9.4	"Bealanana"	"Hasina"
"Cro7"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.b"	280	360.3	7.61	22.7	"Bealanana"	"Hasina"
"Cro7"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.h"	300	387.7	11.02	29.3	"Bealanana"	"Hasina"
"Cro7"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.m"	271	355.4	7.12	20.5	"Bealanana"	"Hasina"
"Cro9"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"br"	462	510	9.82	20.2	"Bealanana"	"Hasina"
"Cro9"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.b"	308	375.6	7.16	20.5	"Bealanana"	"Hasina"
"Cro9"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.h"	288	356.6	7.49	19.2	"Bealanana"	"Hasina"
"Cro9"	"Euphorbiaceae"	"Croton"	"Croton cuspidata"	"tr.m"	342	431.45	9.47	26.8	"Bealanana"	"Hasina"
"Cro1"	"Euphorbiaceae"	"Croton"	"Croton mongue"	"br"	145	170.1	8.11	15.5	"Bealanana"	"Hasina"
"Cro1"	"Euphorbiaceae"	"Croton"	"Croton mongue"	"tr.b"	230	278.2	11.31	21.7	"Bealanana"	"Hasina"
"Cro1"	"Euphorbiaceae"	"Croton"	"Croton mongue"	"tr.h"	215	253.4	8.81	16.7	"Bealanana"	"Hasina"
"Cro1"	"Euphorbiaceae"	"Croton"	"Croton mongue"	"tr.m"	356	421.15	16.04	28.6	"Bealanana"	"Hasina"
"N1"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	13.465	11.6	9.392	11.6	"Fort-Dauphin-Dry"	"Sarobidy"
"N1"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	15.236	13.7	11.018	13.7	"Fort-Dauphin-Dry"	"Sarobidy"
"N1"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	13.043	11.5	9.632	11.5	"Fort-Dauphin-Dry"	"Sarobidy"
"N1"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	11.616	10.3	8.819	10.3	"Fort-Dauphin-Dry"	"Sarobidy"
"N2"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	16.225	14.5	11.68	14.5	"Fort-Dauphin-Dry"	"Sarobidy"
"N2"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	27.017	24.1	20.062	24.1	"Fort-Dauphin-Dry"	"Sarobidy"
"N2"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	14.536	13.2	10.703	13.2	"Fort-Dauphin-Dry"	"Sarobidy"
"N2"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	12.437	11.4	9.174	11.4	"Fort-Dauphin-Dry"	"Sarobidy"
"N3"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	15.633	13.8	11.074	13.8	"Fort-Dauphin-Dry"	"Sarobidy"
"N3"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	20.588	17.9	15.249	17.9	"Fort-Dauphin-Dry"	"Sarobidy"
"N3"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	10.185	9.2	7.572	9.2	"Fort-Dauphin-Dry"	"Sarobidy"
"N3"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	14.148	12.7	10.449	12.7	"Fort-Dauphin-Dry"	"Sarobidy"
"N4"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	9.271	7.8	6.716	7.8	"Fort-Dauphin-Dry"	"Sarobidy"
"N4"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	18.161	15.2	13.704	15.2	"Fort-Dauphin-Dry"	"Sarobidy"
"N4"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	13.809	11.4	10.4	11.4	"Fort-Dauphin-Dry"	"Sarobidy"
"N4"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	7.331	6.4	5.368	6.4	"Fort-Dauphin-Dry"	"Sarobidy"
"N5"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	12.554	11.1	9.295	11.1	"Fort-Dauphin-Dry"	"Sarobidy"
"N5"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	21.842	18.1	16.184	18.1	"Fort-Dauphin-Dry"	"Sarobidy"
"N5"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	13.141	11.3	9.903	11.3	"Fort-Dauphin-Dry"	"Sarobidy"
"N5"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	10.764	9.6	7.927	9.6	"Fort-Dauphin-Dry"	"Sarobidy"
"N6"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	17.192	15.7	13.019	15.7	"Fort-Dauphin-Dry"	"Sarobidy"
"N6"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	21.386	17.6	15.844	17.6	"Fort-Dauphin-Dry"	"Sarobidy"
"N6"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	16.153	13.5	12.397	13.5	"Fort-Dauphin-Dry"	"Sarobidy"
"N6"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	9.829	8.8	7.23	8.8	"Fort-Dauphin-Dry"	"Sarobidy"
"N7"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	14.954	12.9	10.858	12.9	"Fort-Dauphin-Dry"	"Sarobidy"
"N7"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	20.324	16	15.053	16	"Fort-Dauphin-Dry"	"Sarobidy"
"N7"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	14.214	12.1	9.81	12.1	"Fort-Dauphin-Dry"	"Sarobidy"
"N7"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	15.327	12.9	11.328	12.9	"Fort-Dauphin-Dry"	"Sarobidy"
"N8"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	14.074	12.2	10.841	12.2	"Fort-Dauphin-Dry"	"Sarobidy"
"N8"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	21.402	17.3	15.866	17.3	"Fort-Dauphin-Dry"	"Sarobidy"
"N8"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	15.134	12.9	11.947	12.9	"Fort-Dauphin-Dry"	"Sarobidy"
"N8"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	17.58	15	13.007	15	"Fort-Dauphin-Dry"	"Sarobidy"
"N9"	"Euphorbiaceae"	"Croton"	"Croton sp."	"br"	18.124	18.4	12.903	18.4	"Fort-Dauphin-Dry"	"Sarobidy"
"N9"	"Euphorbiaceae"	"Croton"	"Croton sp."	"b"	22.197	15.3	16.466	15.3	"Fort-Dauphin-Dry"	"Sarobidy"
"N9"	"Euphorbiaceae"	"Croton"	"Croton sp."	"m"	19.9	16.6	14.899	16.6	"Fort-Dauphin-Dry"	"Sarobidy"
"N9"	"Euphorbiaceae"	"Croton"	"Croton sp."	"h"	13.441	11.2	9.922	11.2	"Fort-Dauphin-Dry"	"Sarobidy"
"DRY2"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"br"	28	22.15	4.001	5.7	"Fandriana"	"Samuelson"
"DRY1"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"br"	33	28.45	7.26	9.5	"Fandriana"	"Samuelson"
"DRY6"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"br"	24	21.35	2.636	3.9	"Fandriana"	"Samuelson"
"DRY3"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"br"	17	16.95	11.631	16.6	"Fandriana"	"Samuelson"
"DRY5"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"br"	28	27.35	19.748	26.9	"Fandriana"	"Samuelson"
"DRY4"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"br"	17	17.15	12.5	16.8	"Fandriana"	"Samuelson"
"DRY6"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.b"	85	70.15	10.898	14.2	"Fandriana"	"Samuelson"
"DRY1"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.b"	307	262.75	13.323	18.3	"Fandriana"	"Samuelson"
"DRY2"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.b"	154	135.75	34.448	44.3	"Fandriana"	"Samuelson"
"DRY3"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.b"	160	150.55	53.353	71.3	"Fandriana"	"Samuelson"
"DRY5"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.b"	64	60.65	24.511	33.8	"Fandriana"	"Samuelson"
"DRY4"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.b"	71	67.55	10.396	13.8	"Fandriana"	"Samuelson"
"DRY2"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.m"	126	110.35	36.12	48.3	"Fandriana"	"Samuelson"
"DRY4"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.m"	35	30.85	6.668	9.1	"Fandriana"	"Samuelson"
"DRY1"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.m"	201	181.05	14.175	18.8	"Fandriana"	"Samuelson"
"DRY5"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.m"	59	53.95	25.668	34	"Fandriana"	"Samuelson"
"DRY6"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.m"	52	51.05	10.585	14.4	"Fandriana"	"Samuelson"
"DRY3"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.m"	127	133.35	45.964	64.3	"Fandriana"	"Samuelson"
"DRY2"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.h"	98	86.55	27.012	38.1	"Fandriana"	"Samuelson"
"DRY6"	"Euphorbiaceae"	"Drypetes"	"Drypetes sp."	"tr.h"	32	29.55	11.409	15.6	"Fandriana"	"Samuelson"
