Tree	Locality	Latin_Binomial	Family	Trunk_diameter_cm	Total_height_m	Dry_weight_branch_kg	Dry_weight_trunk_kg	Dry_weight_leaf_kg	Dry_total_AGB_kg	Wood_specific_gravity	Forest_type
34	Fort-Dauphin-Dry	Commiphora simplicifolia	Burseraceae	11.7774657888003	4.1	7.73451179648903	5.50483874067357	NA	13.2393505371626	0.214442054410487	dry
35	Fort-Dauphin-Dry	Commiphora simplicifolia	Burseraceae	12.9552123676803	4.65	2.74245092200797	10.6073168505435	NA	13.3497677725515	0.252769253636884	dry
36	Fort-Dauphin-Dry	Commiphora sp.	Burseraceae	2.86478897565412	2.64	0.16647526135346	0.638569286087151	NA	0.80504454744061	0.211737960217199	dry
37	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	3.18309886183791	3.9	2.33036558831511	1.05265735297723	NA	3.38302294129234	0.817395271633036	dry
38	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	3.3422538049298	3.7	2.27691145245408	0.903536290656379	NA	3.18044774311045	0.819254126492501	dry
39	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	3.97887357729738	4.1	3.26555813056285	1.54914004857436	NA	4.81469817913721	0.805846530042929	dry
40	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	4.55183137242821	4.1	5.32311081310434	3.35539536770853	NA	8.67850618081288	0.870268900781601	dry
41	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	5.15662015617741	5	3.67982031001253	3.95948665357348	NA	7.63930696358601	0.850453389943353	dry
42	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	5.25211312203255	4.3	4.66238673602885	2.30967466000198	NA	6.97206139603083	0.859808236130931	dry
43	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	5.25211312203255	5.2	8.28500354656526	4.03705627359907	NA	12.3220598201643	0.891405814560019	dry
44	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	5.88873289440013	4.6	12.1997523819925	4.48659550287006	NA	16.6863478848625	0.881971155058141	dry
45	Fort-Dauphin-Dry	Croton sp.	Euphorbiaceae	6.52535266676771	4.88	7.06175448083807	4.80199304696989	NA	11.863747527808	0.859300208885744	dry
46	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	3.3422538049298	3.95	1.95991221210082	1.64208861013852	NA	3.60200082223934	0.715916964387688	dry
47	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	3.43774677078494	3.9	2.22056286250933	1.52038538333972	NA	3.74094824584905	0.763515202106132	dry
48	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	3.5014087480217	4.7	1.81209078065991	1.87227091728699	NA	3.6843616979469	0.720020028371074	dry
49	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	4.39267642933631	4.35	4.87705188138732	3.04985556370879	NA	7.92690744509611	0.811717336052719	dry
50	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	4.45633840657307	5.3	3.15124433699625	3.34990974085036	NA	6.50115407784661	0.783085440629865	dry
51	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	4.64732433828334	5.25	4.32676938120007	9.42617615190015	NA	13.7529455331002	0.803969750791984	dry
52	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	5.18845114479579	4.8	8.52230248856829	2.79319483476999	NA	11.3154973233383	0.817773953709724	dry
53	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	5.72957795130823	3.5	5.72058050165977	5.38488176563423	NA	11.105462267294	0.85420875677166	dry
54	Fort-Dauphin-Dry	Dichrostrachys dumetaria	Fabaceae	13.0507053335354	4.4	22.6646494777302	9.89002886300955	NA	32.5546783407398	0.815602437796629	dry
55	Fort-Dauphin-Dry	Diospyros humbertiana	Ebenaceae	3.02394391874601	3.48	1.59980853842041	1.06862210964801	NA	2.66843064806842	0.706281119515619	dry
56	Fort-Dauphin-Dry	Diospyros humbertiana	Ebenaceae	3.66056369111359	3.2	2.34179733929873	1.66513068601694	NA	4.00692802531567	0.766048968302754	dry
57	Fort-Dauphin-Dry	Diospyros humbertiana	Ebenaceae	3.91521160006063	4.4	1.55966198251245	3.01129542943962	NA	4.57095741195208	0.726259646737213	dry
58	Fort-Dauphin-Dry	Diospyros humbertiana	Ebenaceae	5.88873289440013	4.5	7.15097983397519	4.63649576212159	NA	11.7874755960968	0.893780352160648	dry
59	Fort-Dauphin-Dry	Diospyros humbertiana	Ebenaceae	6.93915551880664	3.7	11.3635853702144	3.86361902587289	NA	15.2272043960873	0.799301037071501	dry
60	Fort-Dauphin-Dry	Diospyros humbertiana	Ebenaceae	7.48028232531908	5.6	5.0084352967884	10.9140872234309	NA	15.9225225202193	0.709558865472064	dry
61	Fort-Dauphin-Dry	Diospyros manapetsae	Ebenaceae	2.70563403256222	3.9	2.05849841938375	1.15054120410001	NA	3.20903962348376	0.743590826330771	dry
62	Fort-Dauphin-Dry	Diospyros manapetsae	Ebenaceae	3.56507072525846	4.2	1.99830564948347	2.11626119129326	NA	4.11456684077674	0.844890488488559	dry
63	Fort-Dauphin-Dry	Diospyros manapetsae	Ebenaceae	7.16197243913529	4.15	4.99815534298998	5.4176306847203	NA	10.4157860277103	0.783099923963146	dry
64	Fort-Dauphin-Dry	Euphorbia laro	Euphorbiaceae	4.13802852038928	3.35	6.54532165697299	1.31328711956039	NA	7.85860877653338	0.400025503879442	dry
65	Fort-Dauphin-Dry	Euphorbia laro	Euphorbiaceae	6.36619772367581	3.35	9.78480913550979	2.83998118811138	NA	12.6247903236212	0.460589838239303	dry
66	Fort-Dauphin-Dry	Euphorbia laro	Euphorbiaceae	12.4140855611678	5.2	47.4870927861523	14.801171777502	NA	62.2882645636543	0.452753776728626	dry
67	Fort-Dauphin-Dry	Euphorbia stenoclada	Euphorbiaceae	4.45633840657307	2.83	2.21793911129049	0.946320687483942	NA	3.16425979877443	0.338650537273583	dry
68	Fort-Dauphin-Dry	Euphorbia stenoclada	Euphorbiaceae	7.06647947328015	3.2	11.0538374062572	3.54581347478385	NA	14.599650881041	0.423489509125183	dry
69	Fort-Dauphin-Dry	Euphorbia stenoclada	Euphorbiaceae	14.8014097075463	6.47	33.0291613891757	27.3304680509024	NA	60.3596294400781	0.408502857275701	dry
70	Fort-Dauphin-Dry	Euphorbia tiricali	Euphorbiaceae	4.99746521308551	2.5	6.70919542256264	0.951485896290701	NA	7.66068131885334	0.392618142419176	dry
71	Fort-Dauphin-Dry	Euphorbia tiricali	Euphorbiaceae	7.09831046189853	4.2	5.99627970231855	3.52508564318121	NA	9.52136534549976	0.311142209537048	dry
72	Fort-Dauphin-Dry	Euphorbia tiricali	Euphorbiaceae	11.1408460164327	5.3	18.8118629061472	11.2871177436883	NA	30.0989806498356	0.365851174610556	dry
73	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	3.5014087480217	4.1	1.77869075893758	1.51854211052154	NA	3.29723286945912	0.57838239467148	dry
74	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	3.81971863420549	4.66	2.03169537588487	1.51914000750054	NA	3.55083538338541	0.596662690289012	dry
75	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	4.20169049762604	4.8	2.43488430972725	2.08332347356342	NA	4.51820778329067	0.704220665538548	dry
76	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	4.39267642933631	4.8	2.56490090302611	2.62695495713159	NA	5.1918558601577	0.729725440482701	dry
77	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	4.55183137242821	5.5	3.67313565123237	2.16884160985596	NA	5.84197726108833	0.545775871856243	dry
78	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	4.96563422446713	5.25	5.35673604658505	3.23742710591702	NA	8.59416315250207	0.717751146763046	dry
79	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	5.57042300821634	5.4	9.28170755349893	4.77448147304498	NA	14.0561890265439	0.782495674215346	dry
80	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	6.8436625529515	6.1	7.45243688853825	8.72446693259302	NA	16.1769038211313	0.735450358772195	dry
81	Fort-Dauphin-Dry	Grewia sp.	Malvaceae	7.63943726841098	6.1	11.1421558331003	8.98354124395108	NA	20.1256970770514	0.782786346798309	dry
82	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	3.18309886183791	3.4	0.523379637039507	0.38260856224957	NA	0.905988199289077	0.36937641730114	dry
83	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	4.1061975317709	4.7	0.938052154510492	1.26386416237482	NA	2.20191631688532	0.299016936844323	dry
84	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	5.66591597407147	4.2	0.478025535153282	1.87950949048904	NA	2.35753502564232	0.30526781054658	dry
85	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	6.62084563262285	4.9	1.24892438040525	3.45855982266069	NA	4.70748420306594	0.277956622641301	dry
86	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	6.93915551880664	6.1	2.57812412734874	4.32132729746665	NA	6.89945142481539	0.341312327020912	dry
87	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	9.86760647169751	5.6	5.99393337364145	4.74146968362682	NA	10.7354030572683	0.357300402997086	dry
