DryDensityGenus	Genus	WetDensityGenus	MoistureGenus
0.558685528809994	Albizzia	0.984147225946594	44.32984256144
0.307579615581221	Alluaudia	1.01185073679499	69.470788877626
0.738449856848832	Cedrelopsis	1.02881596522979	28.2933711884826
0.244159436236007	Commiphora	0.797029237606543	68.8229143824642
0.850633737058695	Croton	1.16165697371936	26.7951103138058
0.787312207846386	Dichrostrachys	1.16423900910776	32.3853365963921
0.774756803115808	Diospyros	1.11144016048987	33.0026388593657
0.394847061009846	Euphorbia	0.938682682334076	57.6332961285004
0.685916732154098	Grewia	1.02038866584494	33.0662392871629
0.313556770960888	Gyrocarpus	0.873468698657141	63.9946939629606
0.22197134367571	Opercularia	0.874994126349724	74.7917423045259
0.104135203890133	Pachypodium	0.911173991786206	88.5813808194713
0.80388245541118	Securinega	1.13815391037286	29.3707423377294
0.729801025151429	Strychnos	1.0663108498593	33.4874605118528
0.711504017907554	Terminalia	1.06648984801869	33.5303878328288
