DryDensitySpecies	Species	WetDensitySpecies	MoistureSpecies
0.571011528602568	Albizzia mahaleo	0.948600030812315	42.3156595362497
0.548305739510984	Albizzia tulearensis	1.01408170605967	45.9199870550113
0.410598327437783	Alluaudia dumosa	1.0472953212233	60.7787442600882
0.256070259652941	Alluaudia procera	0.994128444580841	73.816811186395
0.738449856848832	Cedrelopsis grevei	1.02881596522979	28.2933711884826
0.283181447697184	Commiphora lami	0.812196278039414	65.0424383507023
0.227230524563062	Commiphora simplicifolia	0.776894109875606	69.8251936646847
0.211737960217199	Commiphora sp.	0.852203754962612	75.1529460666478
0.850633737058695	Croton sp.	1.16165697371936	26.7951103138058
0.787312207846386	Dichrostrachys dumetaria	1.16423900910776	32.3853365963921
0.742736207493724	Diospyros humbertiana	1.09046189034023	33.876895257016
0.838797994359976	Diospyros manapetsae	1.15530381625731	31.1746482097333
0.437789706282457	Euphorbia laro	0.944222679596507	53.5680342709967
0.390214301224822	Euphorbia stenoclada	0.933105929458255	57.8622928729355
0.35653717552226	Euphorbia tiricali	0.938719437947465	61.469561241569
0.685916732154098	Grewia sp.	1.02038866584494	33.0662392871629
0.313556770960888	Gyrocarpus americanus	0.873468698657141	63.9946939629606
0.22197134367571	Opercularia decaryii	0.874994126349724	74.7917423045259
0.104135203890133	Pachypodium lameri	0.911173991786206	88.5813808194713
0.80388245541118	Securinega capironii	1.13815391037286	29.3707423377294
0.831528070692176	Strychnos decussata	1.06123005942696	30.9580458338891
0.700736154996929	Strychnos madagascariensis	1.06758104746738	34.1198141813437
0.752176292706311	Terminalia disjuncta	1.08101487150013	31.3132847164092
0.694557236741406	Terminalia mantaly	1.05922733627796	34.4541807980036
