Model	beta0	beta1	beta2	beta3	beta4	df	RSE	R2	AIC	Bias
Brown	-2.289	2.649	-0.021	0	0	333	0.39	0.88	438	35.5
Chave.H	-2.977	0	0	0	0	335	0.33	0.93	234	-4.2
Chave.D	-1.499	2.148	0.207	-0.028	0	332	0.38	0.88	444	36.9
Mada.I.1	-1.948	1.969	0.66	0	0.828	332	0.29	0.95	122	4.3
Mada.I.1-wHD	1.01	0.547	0.071	0	0	332	0.33	0.94	218	4.7
Mada.I.2	-2.108	0.908	0	0	0	334	0.29	0.95	135	4.5
Mada.I.2-wHD	1.132	0.529	0	0	0	334	0.33	0.93	220	11
Mada.II.1	-1.159	2.297	0	0	0.83	333	0.33	0.94	215	5.8
Mada.II.2-WEB	NA	8/3	NA	NA	NA	NA	NA	NA	NA	NA
