DryDensitySpecies	Species	WetDensitySpecies	MoistureSpecies
0.656174589422348	Albizzia sp.	1.06454524519111	38.1798115100784
0.794067905540414	Anthocleista madagascariensis	1.20716351189603	34.2169060228092
0.615323186488902	Aphloia theaeformis	1.16650955064676	47.7339971584655
0.571072366316025	Bathiorhamnus sp.	1.01127834106202	43.4907147552504
0.504479075980417	Brochoneura madagascariensis	0.834281621558888	39.2156003135016
0.667463065651317	Calophyllum sp.	0.960775991404871	30.1258291211006
0.774966335309069	Campylospermum sp.	1.07881052640317	27.7955296860457
0.47230410183902	Canarium sp.	0.795580761859941	39.5951917483486
0.52851982850833	Chrysophyllum boivinianum	0.956348075159633	45.1532441993729
0.766017547834927	Colea sp.	1.17011255489646	34.409085274734
0.656500633119976	Croton argyrodaphne	1.04875724644983	37.3803252505779
0.374010501532941	Croton cuspidata	0.793801432751086	52.9789455407651
0.527021279629191	Croton mongue	0.843237136524827	37.4964229415231
0.516040066875409	Cryptocarya acuminata	0.97162502652216	46.8155355234492
0.529719646857485	Cryptocarya aff. ovalifolia	1.02592998180292	48.2122205803307
0.548653203802603	Cryptocarya crassifolia	0.964527139058781	42.9775903204006
0.607145054248112	Cryptocarya sp	1.06588843596487	43.0406662027051
0.5239562763372	Cryptocarya sp.	0.807296973885386	34.9607972767856
0.561558506556431	Denbollia sp.	0.879141659231108	35.8251723581863
0.274582390621954	Dombeya sp1	0.52267798566927	47.4499563169594
0.263074814140464	Dombeya sp2	0.51173083245224	48.5497286508296
0.78465378914541	Doratoxylon sp.	1.18113063511612	33.4379293471795
0.697157818604703	Drypetes sp.	1.08972305781603	35.7860071670087
0.683317298048091	Erythroxyllum sphaeranthum	1.04598013422778	34.6668173756629
0.546276078068843	Eugenia bernieri	1.08845900231031	49.6589349179714
0.559304282214822	Eugenia emirnensis	0.872842374124319	30.613874911852
0.677900525670748	Eugenia sp.	1.00603511542286	32.5049576892566
0.529594387198826	Ficus soroceoïdes	1.04718574727585	49.3783732846004
0.462231022173456	Ficus sp1	0.919621076101141	49.7292186322955
0.445005914403672	Ficus sp2	0.938036465984212	52.5592289517972
0.454290426435301	Ficus tiliifolia	0.906769889509715	49.9004438985973
0.356279084783961	Grewia aprima	0.766522506644551	53.4109112677119
0.471300991170663	Harungana madagascariensis	0.851664560881745	44.5778498022922
0.738802241624858	Homalium sp1	1.25714285714286	41.23163987075
0.774085213509945	Homalium sp2	1.30539288603695	40.6827049321978
0.689728753606541	Hyperacanthus sp.	1.06604665907406	37.9413318688728
0.414895227317397	Macaranga macropoda	0.84694004193543	50.9957442945774
0.401647522520183	Macaranga sp.	0.619539840635381	35.0806104641941
0.769006308029046	Mammea bongo	1.18387736865923	35.327059778578
0.676185222383061	Mammea sp	1.24236082354794	45.5606676950845
0.669522904415898	Mammea sp.	1.09657569715425	38.9145757926517
0.639883864598958	Mascarenhasia arborescens	1.13813817215951	43.7212513453399
0.784771487929104	Noronhia linocerioides	1.15444118450752	32.021148207618
0.54099071011944	Ocotea cymosa	0.999242425245224	45.7740582663445
0.551314682706474	Ocotea racemosa	1.00634821474914	45.1022184451954
0.602756009978024	Ocotea sp.	0.900501767781687	32.7954029727953
0.51051755175642	Oncostemum sp.	1.08856463974383	52.8955009840003
0.684468645702756	Psorospermum androsaemifolium	1.27009388461001	46.1012511972441
0.587223266954349	Rhus tarantana	1.082204952891	45.5987567325085
0.50820826616253	Schefflera sp.	0.762214093281165	32.7396239480087
0.631751955252829	Streblus dimepata	1.03992068453511	39.19057094486
0.644905412537749	Symphonia sp.	0.952272050285586	32.007052626167
0.682488376468633	Syzygium emirnensis	1.21954083782383	44.0345519216321
0.644258564019261	Syzygium sp	1.22320707221637	47.3086510216305
0.509466729061787	Tambourissa thouvenotii	1.01350832651768	49.8518067617131
0.752231833854231	Tisonia coriacea	1.09498990186176	31.3495490677467
0.619970803948635	Trophis montana	1.08980326609581	43.1934940123774
0.601649134874455	Uapaca thouarsii	1.05759469335782	43.2097430964009
0.586227777684382	Weinmannia bojeri	1.0882520099676	46.0774255410007
0.632332297320228	Weinmannia sp.	0.960493579362707	33.8145229478044
